indx,long_name,indx_name,prd,unt,definition,org_indx,description,timescale
cdd,Consecutive Dry Days,Consecutive Dry Days,ANN,days,Maximum number of consecutive dry days (when PR < 1 ),CDD (cdd),Longest dry spell,Ann
cddcold18,Cooling Degree Days,Cooling Degree Days,ANN,degree-days,"Annual sum of TM - n (where n , n = 18)",CDDcoldn (cddcold18),A measure of the energy demand needed to cool a building,Ann
csdi,Cold spell duration indicator,Cold spell duration indicator,ANN,days,Annual number of days contributing to events where 6 or more consecutive days experience TN < 10th percentile,CSDI (csdi),Number of days contributing to a cold period (where the period has to be at least 6 days long),Ann
csdi5,User-defined CSDI,User-defined CSDI,ANN,days,Annual number of days contributing to events where d or more consecutive days experience TN < 10th percentile,CSDId (csdi5),Number of days contributing to a cold period (where the minimum length is 5),Ann
cwd,Consecutive Wet Days,Consecutive Wet Days,ANN,days,Maximum annual number of consecutive wet days (when PR >= 1),CWD (cwd),The longest wet spell,Ann
dtr,Daily Temperature Range,Daily Temperature Range,ANN,degrees_C,Mean difference between daily TX and daily TN,DTR (dtr),Average range of maximum and minimum temperature,Mon/Ann
dtr,Daily Temperature Range,Daily Temperature Range,MON,degrees_C,Mean difference between daily TX and daily TN,DTR (dtr),Average range of maximum and minimum temperature,Mon/Ann
fd,Frost Days,Frost Days,ANN,days,Number of days when TN < 0 C,FD (fd),Days when minimum temperature is below 0C,Mon/Ann
fd,Frost Days,Frost Days,MON,days,Number of days when TN < 0 C,FD (fd),Days when minimum temperature is below 0C,Mon/Ann
gddgrow10,Growing Degree Days,Growing Degree Days,ANN,degree-days,Annual sum of TM - n (where n is a user-defined location-specific base temperature and TM > n),GDDgrown (gddgrow10),A measure of heat accumulation to predict plant and animal developmental rates,Ann
gsl,Growing Season Length,Growing Season Length,ANN,days,Annual length of days plant can growth,GSL (gsl),Length of time in which plants can grow (Annual number of days between the first occurrence of 6 consecutive days with TM > 5 degrees_C and the first occurrence of 6 consecutive days with TM < 5 C),Ann
hddheat18,Heating Degree Days,Heating Degree Days,ANN,degree-days,Annual sum of n - TM (where n is a user-defined location-specific base temperature and TM < n),HDDheatn (hddheat18),A measure of the energy demand needed to heat a building,Ann
hwm_tx90,Heatwave magnitude for Tx90 heatwaves,Heatwave magnitude for Tx90 heatwaves,ANN,degC,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwm_tn90,Heatwave magnitude for Tn90 heatwaves,Heatwave magnitude for Tn90 heatwaves,ANN,degC,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwm_ehf,Heatwave magnitude for EHF heatwaves,Heatwave magnitude for EHF heatwaves,ANN,degC^2,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
cwm_ecf,Coldwave magnitude for ECF coldwaves ,Coldwave magnitude for ECF coldwaves ,ANN,degC^2,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwa_tx90,Heatwave amplitude for Tx90 heatwaves ,Heatwave amplitude for Tx90 heatwaves ,ANN,degC,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwa_tn90,Heatwave amplitude for Tn90 heatwaves ,Heatwave amplitude for Tn90 heatwaves ,ANN,degC,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
hwa_ehf,Heatwave amplitude for EHF heatwaves ,Heatwave amplitude for EHF heatwaves ,ANN,degC^2,"Heatwave and Coldwave duration (HWD), magnitude (HWD), Frequency (HWF) based on tempearture.",HW (hw),Annual Heat wave and Cold wave magnitude amplitude number duration and frequency calculated from TX and TN,Ann
