indx_short_name,indx,category,indx_long_name,definition,description,Units,Timescale,Sector
TXgt50p,txgt50p,Heat indices,Fraction of days with temperatures above the median,Percentage of days where TX > 50th percentile,Fraction of days with above-median temperature,%,Mon/Ann,"H, AFS, WRH"
TXm,txm,Heat indices,Mean daily maximum temperature,Mean daily maximum temperature,Average daily maximum temperature,C,Mon/Ann,
TXn,txn,Cold indices,Min daily maximum temperature,Coldest daily TX,Coldest day,C,Mon/Ann,
TXx,txx,Heat indices,Max daily maximum temperature,Warmest daily TX,Hottest day,C,Mon/Ann,AFS
WSDI,wsdi,Heat indices,Warm spell duration indicator,Annual number of days contributing to events where 6 or more consecutive days experience TX > 90th percentile,Number of days contributing to a warm period (where the period has to be at least 6 days long),days,Ann,"H, AFS, WRH"
WSDId,wsdi5,Heat indices,User-defined WSDI,Annual number of days contributing to events where d or more consecutive days experience TX > 90th percentile,Number of days contributing to a warm period (where the minimum length is user-specified),days,Ann,"H, AFS, WRH"
CWA_ECF,cwa_ecf,Coldwave indices,Coldwave amplitude as defined by the Excess Cold Factor,The minimum daily value in the coldest coldwave (defined as the coldwave with lowest ECF_HWM).,The minimum daily value in the coldest coldwave (defined as the coldwave with lowest ECF_HWM).,C^2,Ann,"H, AFS, WRH"
CWD_ECF,cwd_ecf,Coldwave indices,Coldwave duration as defined by the Excess Cold Factor,The length of the longest coldwave identified by ECF_HWN.,The length of the longest coldwave identified by ECF_HWN.,days,Ann,"H, AFS, WRH"
CWF_ECF,cwf_ecf,Coldwave indices,Coldwave frequency  as defined by the Excess Cold Factor ,The number of days that contribute to coldwaves as identified by ECF_HWN.,The number of days that contribute to coldwaves as identified by ECF_HWN.,days,Ann,"H, AFS, WRH"
CWM_ECF,cwm_ecf,Coldwave indices,Coldwave magnitude as defined by the Excess Cold Factor,The mean temperature of all coldwaves identified by ECF_HWN.,The mean temperature of all coldwaves identified by ECF_HWN.,C^2,Ann,"H, AFS, WRH"
CWN_ECF,cwn_ecf,Coldwave indices,Coldwave number as defined by the Excess Cold Factor ,The number of individual coldwaves that occur each year.,The number of individual coldwaves that occur each year.,events,Ann,"H, AFS, WRH"
HWA_EHF,hwa_ehf,Heatwave indices,Heatwave amplitude as defined by  the Excess Heat Factor,The peak daily value in the hottest heatwave (defined as the heatwave with highest HWM).,The peak daily value in the hottest heatwave (defined as the heatwave with highest HWM).,C (C^2 for EHF),Ann,"H, AFS, WRH"
HWA_TN90,hwa_tn90,Heatwave indices,Heatwave amplitude as defined by  the 90th percentile of TN,The length of the longest heatwave identified by HWN.,The length of the longest heatwave identified by HWN.,days,Ann,"H, AFS, WRH"
HWA_TX90,hwa_tx90,Heatwave indices,Heatwave amplitude as defined by  the 90th percentile of TX,The number of days that contribute to heatwaves as identified by HWN.,The number of days that contribute to heatwaves as identified by HWN.,days,Ann,"H, AFS, WRH"
HWD_EHF,hwd_ehf,Heatwave indices,Heatwave duration  as defined by  the Excess Heat Factor ,The mean temperature of all heatwaves identified by HWN.,The mean temperature of all heatwaves identified by HWN.,C (C^2 for EHF),Ann,"H, AFS, WRH"
HWD_TN90,hwd_tn90,Heatwave indices,Heatwave duration  as defined by  the 90th percentile of TN,The number of individual heatwaves that occur each summer (May – Sep in northern hemisphere),The number of individual heatwaves that occur each summer (May – Sep in northern hemisphere),no,Ann,"H, AFS, WRH"
HWD_TX90,hwd_tx90,Heatwave indices,Heatwave duration as defined by  the 90th percentile of TX,The peak daily value in the hottest heatwave (defined as the heatwave with highest HWM).,The peak daily value in the hottest heatwave (defined as the heatwave with highest HWM).,C (C^2 for EHF),Ann,"H, AFS, WRH"
HWF_EHF,hwf_ehf,Heatwave indices,Heatwave frequency as defined by  the Excess Heat Factor,The length of the longest heatwave identified by HWN.,The length of the longest heatwave identified by HWN.,days,Ann,"H, AFS, WRH"
HWF_TN90,hwf_tn90,Heatwave indices,Heatwave frequency  as defined by  the 90th percentile of TN,The number of days that contribute to heatwaves as identified by HWN.,The number of days that contribute to heatwaves as identified by HWN.,days,Ann,"H, AFS, WRH"
HWF_TX90,hwf_tx90,Heatwave indices,Heatwave frequency as defined by  the 90th percentile of TX,The mean temperature of all heatwaves identified by HWN.,The mean temperature of all heatwaves identified by HWN.,C (C^2 for EHF),Ann,"H, AFS, WRH"
HWM_EHF,hwm_ehf,Heatwave indices,Heatwave magnitude as defined by  the Excess Heat Factor,The number of individual heatwaves that occur each summer (May – Sep in northern hemisphere).,The number of individual heatwaves that occur each summer (May – Sep in northern hemisphere).,no,Ann,"H, AFS, WRH"
HWM_TN90,hwm_tn90,Heatwave indices,Heatwave magnitude as defined by  the 90th percentile of TN,The peak daily value in the hottest heatwave (defined as the heatwave with highest HWM).,The peak daily value in the hottest heatwave (defined as the heatwave with highest HWM).,C (C^2 for EHF),Ann,"H, AFS, WRH"
HWM_TX90,hwm_tx90,Heatwave indices,Heatwave magnitude as defined by  the 90th percentile of TX,The length of the longest heatwave identified by HWN.,The length of the longest heatwave identified by HWN.,days,Ann,"H, AFS, WRH"
HWN_EHF,hwn_ehf,Heatwave indices,Heatwave number as defined by  the Excess Heat Factor ,The number of days that contribute to heatwaves as identified by HWN.,The number of days that contribute to heatwaves as identified by HWN.,days,Ann,"H, AFS, WRH"
HWN_TN90,hwn_tn90,Heatwave indices,Heatwave number as defined by  the 90th percentile of TN,The mean temperature of all heatwaves identified by HWN.,The mean temperature of all heatwaves identified by HWN.,C (C^2 for EHF),Ann,"H, AFS, WRH"
HWN_TX90,hwn_tx90,Heatwave indices,Heatwave number as defined by  the 90th percentile of TX,The number of individual heatwaves that occur each summer (May – Sep in northern hemisphere),The number of individual heatwaves that occur each summer (May – Sep in northern hemisphere),no,Ann,"H, AFS, WRH"
SPEI12,spei12,Drought indices,Standardised Precipitation Evapotranspiration Index- 12 months,Measure of drought using the SPEI 12 months,A drought measure specified using precipitation and evaporation,unitless,Mon,"H, AFS, WRH"
SPEI3,spei3,Drought indices,Standardised Precipitation Evapotranspiration Index- 3 months,Measure of drought using the SPEI 3 months,A drought measure specified using precipitation and evaporation,unitless,Mon,"H, AFS, WRH"
SPEI6,spei6,Drought indices,Standardised Precipitation Evapotranspiration Index - 6 months,Measure of drought using the SPEI 6 months,A drought measure specified using precipitation and evaporation,unitless,Mon,"H, AFS, WRH"
SPI12,spi12,Drought indices,Standardised Precipitation Index- 12 months,Measure of drought using the SPI 12 months,A drought measure specified as a precipitation deficit,unitless,Mon,"H, AFS, WRH"
SPI3,spi3,Drought indices,Standardised Precipitation Index- 3 months,Measure of drought using the SPI 3 months,A drought measure specified as a precipitation deficit,unitless,Mon,"H, AFS, WRH"
SPI6,spi6,Drought indices,Standardised Precipitation Index- 6 months,Measure of drought using the SPI 6 months,A drought measure specified as a precipitation deficit,unitless,Mon,"H, AFS, WRH"
